"scharr_date","actdep","latemin","no","station","scharr","has_departed","has_arrived","actarr","actarr_date","schdep","distance","day","scharr_datetime","actarr_datetime","schdep_datetime","actdep_datetime","train_no"
"latemin","day","has_departed","schdep","actarr_date","distance","has_arrived","actarr","station","actdep","scharr_date","no","scharr","scharr_datetime","actarr_datetime","schdep_datetime","actdep_datetime","train_no"
26,1,TRUE,"11:59","13 Oct 2016",1237,TRUE,"12:23","ODG","12:25","13 Oct 2016",64,"11:57",2016-10-13 11:57:00,2016-10-13 12:23:00,2016-10-13 11:59:00,2016-10-13 12:25:00,"11058"
27,1,TRUE,"12:35","13 Oct 2016",1268,TRUE,"13:00","BNI","13:02","13 Oct 2016",65,"12:33",2016-10-13 12:33:00,2016-10-13 13:00:00,2016-10-13 12:35:00,2016-10-13 13:02:00,"11058"
28,1,TRUE,"12:46","13 Oct 2016",1275,TRUE,"13:12","HBD","13:14","13 Oct 2016",66,"12:44",2016-10-13 12:44:00,2016-10-13 13:12:00,2016-10-13 12:46:00,2016-10-13 13:14:00,"11058"
18,1,TRUE,"13:25","13 Oct 2016",1292,TRUE,"13:38","ET","13:48","13 Oct 2016",67,"13:20",2016-10-13 13:20:00,2016-10-13 13:38:00,2016-10-13 13:25:00,2016-10-13 13:48:00,"11058"
32,1,TRUE,"13:51","13 Oct 2016",1326,TRUE,"14:21","BPF","14:23","13 Oct 2016",68,"13:49",2016-10-13 13:49:00,2016-10-13 14:21:00,2016-10-13 13:51:00,2016-10-13 14:23:00,"11058"
30,1,TRUE,"14:15","13 Oct 2016",1354,TRUE,"14:43","TBN","14:45","13 Oct 2016",69,"14:13",2016-10-13 14:13:00,2016-10-13 14:43:00,2016-10-13 14:15:00,2016-10-13 14:45:00,"11058"
28,1,TRUE,"14:31","13 Oct 2016",1368,TRUE,"14:57","HD","14:59","13 Oct 2016",70,"14:29",2016-10-13 14:29:00,2016-10-13 14:57:00,2016-10-13 14:31:00,2016-10-13 14:59:00,"11058"
26,1,TRUE,"14:58","13 Oct 2016",1400,TRUE,"15:22","KKN","15:24","13 Oct 2016",71,"14:56",2016-10-13 14:56:00,2016-10-13 15:22:00,2016-10-13 14:58:00,2016-10-13 15:24:00,"11058"
24,1,TRUE,"15:23","13 Oct 2016",1430,TRUE,"15:45","CAER","15:47","13 Oct 2016",72,"15:21",2016-10-13 15:21:00,2016-10-13 15:45:00,2016-10-13 15:23:00,2016-10-13 15:47:00,"11058"
23,1,TRUE,"15:48","13 Oct 2016",1460,TRUE,"16:09","TLV","16:11","13 Oct 2016",73,"15:46",2016-10-13 15:46:00,2016-10-13 16:09:00,2016-10-13 15:48:00,2016-10-13 16:11:00,"11058"
0,1,TRUE,"16:45","13 Oct 2016",1476,TRUE,"16:40","KNW","16:45","13 Oct 2016",74,"16:40",2016-10-13 16:40:00,2016-10-13 16:40:00,2016-10-13 16:45:00,2016-10-13 16:45:00,"11058"
10,1,TRUE,"17:20","13 Oct 2016",1518,TRUE,"17:28","NPNR","17:30","13 Oct 2016",75,"17:18",2016-10-13 17:18:00,2016-10-13 17:28:00,2016-10-13 17:20:00,2016-10-13 17:30:00,"11058"
5,1,TRUE,"17:45","13 Oct 2016",1545,TRUE,"17:48","BAU","17:51","13 Oct 2016",76,"17:43",2016-10-13 17:43:00,2016-10-13 17:48:00,2016-10-13 17:45:00,2016-10-13 17:51:00,"11058"
9,1,TRUE,"18:00","13 Oct 2016",1565,TRUE,"18:07","RV","18:09","13 Oct 2016",77,"17:58",2016-10-13 17:58:00,2016-10-13 18:07:00,2016-10-13 18:00:00,2016-10-13 18:09:00,"11058"
