"number","total_stations","distance_covered","start_time","end_time","journey_days","journey_time","train_type","is_superfast","average_speed","DelayOverall","DelayDiscreate"
"12050",2,188,"08:10","09:50",0,1.66666666666667,"Long Distance",TRUE,112.8,-0.125,-0.125
"12051",9,757,"05:25","14:05",0,8.66666666666667,"Long Distance",TRUE,87.3461538461539,38.2247191011236,7.12359550561798
"12052",9,757,"14:30","23:05",0,8.58333333333333,"Long Distance",TRUE,88.1941747572815,35.3777777777778,2.95555555555556
"12053",11,407,"14:30","22:05",0,7.58333333333333,"Long Distance",TRUE,53.6703296703297,45.030303030303,4.65656565656566
"12054",11,407,"06:55","14:00",0,7.08333333333333,"Long Distance",TRUE,57.4588235294118,22.2626262626263,1.63636363636364
"12055",9,305,"15:20","21:10",0,5.83333333333333,"Long Distance",TRUE,52.2857142857143,7.38888888888889,0.922222222222222
"12056",10,305,"05:10","11:15",0,6.08333333333333,"Long Distance",TRUE,50.1369863013699,14.36,1.55
"12057",14,410,"14:35","22:10",0,7.58333333333333,"Long Distance",TRUE,54.0659340659341,6.5,0
"12058",14,410,"05:00","12:00",0,7,"Long Distance",TRUE,58.5714285714286,8.43571428571429,0.435714285714286
"12059",10,458,"05:55","12:30",0,6.58333333333333,"Long Distance",TRUE,69.5696202531646,7.48,0.73
"12060",10,458,"13:15","20:00",0,6.75,"Long Distance",TRUE,67.8518518518518,4.29,-0.85
"12061",10,331,"17:40","22:55",0,5.25,"Long Distance",TRUE,63.0476190476191,15.8888888888889,0.262626262626263
"12062",10,331,"06:00","11:35",0,5.58333333333333,"Long Distance",TRUE,59.2835820895522,9.54545454545454,0.616161616161616
"12063",11,368,"14:30","22:10",0,7.66666666666667,"Long Distance",TRUE,48,NA,NA
"12064",11,368,"05:00","14:00",0,9,"Long Distance",TRUE,40.8888888888889,NA,NA
"12065",10,386,"05:45","12:35",0,6.83333333333333,"Long Distance",TRUE,56.4878048780488,12.825,1.85
"12066",10,386,"15:10","22:05",0,6.91666666666667,"Long Distance",TRUE,55.8072289156626,41.7241379310345,9.58620689655172
"12067",11,376,"06:30","13:20",0,6.83333333333333,"Long Distance",TRUE,55.0243902439024,9.38383838383838,0.151515151515152
"12068",11,376,"14:30","21:20",0,6.83333333333333,"Long Distance",TRUE,55.0243902439024,8.37804878048781,2.46341463414634
"12069",15,414,"06:25","13:25",0,7,"Long Distance",TRUE,59.1428571428571,10.1185185185185,0.133333333333333
"12070",15,414,"15:00","22:00",0,7,"Long Distance",TRUE,59.1428571428571,9.87610619469027,0.690265486725664
"12071",7,428,"14:00","21:30",0,7.5,"Long Distance",TRUE,57.0666666666667,18.2222222222222,2.84126984126984
"12072",7,428,"04:45","12:30",0,7.75,"Long Distance",TRUE,55.2258064516129,7.85714285714286,1.38571428571429
"12073",9,439,"13:25","20:10",0,6.75,"Long Distance",TRUE,65.037037037037,4.95061728395062,1.04938271604938
"12074",9,439,"06:00","12:40",0,6.66666666666667,"Long Distance",TRUE,65.85,33.8765432098765,6.20987654320988
"12075",12,399,"13:40","20:55",0,7.25,"Long Distance",TRUE,55.0344827586207,31.6166666666667,2.09166666666667
"12076",12,399,"06:00","13:00",0,7,"Long Distance",TRUE,57,35.0092592592593,3.47222222222222
"12077",10,454,"07:35","14:45",0,7.16666666666667,"Long Distance",TRUE,63.3488372093023,15.5128205128205,1.17948717948718
"12078",10,454,"15:20","22:30",0,7.16666666666667,"Long Distance",TRUE,63.3488372093023,10.4022988505747,0.413793103448276
"12079",11,469,"06:00","13:25",0,7.41666666666667,"Long Distance",TRUE,63.2359550561798,14.9727272727273,0
"12080",11,469,"14:00","21:25",0,7.41666666666667,"Long Distance",TRUE,63.2359550561798,13.3796296296296,2.14814814814815
"12081",14,502,"04:45","13:50",0,9.08333333333333,"Long Distance",TRUE,55.2660550458716,23.4017857142857,1.80357142857143
"12082",14,502,"14:30","23:45",0,9.25,"Long Distance",TRUE,54.2702702702703,35.6666666666667,4.09876543209877
"12083",9,362,"14:50","21:15",0,6.41666666666667,"Long Distance",TRUE,56.4155844155844,11.6477272727273,1.125
"12084",9,362,"07:10","13:40",0,6.5,"Long Distance",TRUE,55.6923076923077,16.3666666666667,-0.633333333333333
"12101",15,1952,"20:35","03:35",2,31,"Long Distance",TRUE,62.9677419354839,13.9204545454545,0.443181818181818
"12102",16,1952,"22:50","05:45",2,30.9166666666667,"Long Distance",TRUE,63.1374663072776,10.375,1.421875
"12103",13,1480,"16:15","17:10",1,24.9166666666667,"Long Distance",TRUE,59.3979933110368,29.44,5.24
"12104",13,1480,"06:30","08:05",1,25.5833333333333,"Long Distance",TRUE,57.8501628664495,92.2307692307692,6.92307692307692
"12105",26,967,"19:10","11:10",1,16,"Long Distance",TRUE,60.4375,24.6025641025641,0.213675213675214
"12106",27,967,"14:55","07:00",1,16.0833333333333,"Long Distance",TRUE,60.1243523316062,11.2716049382716,0.0987654320987654
"12107",11,1412,"16:25","15:10",1,22.75,"Long Distance",TRUE,62.0659340659341,33.9090909090909,8.15909090909091
"12108",11,1412,"22:45","22:35",1,23.8333333333333,"Long Distance",TRUE,59.2447552447552,20.5277777777778,2.97222222222222
"12109",10,261,"18:15","22:50",0,4.58333333333333,"Long Distance",TRUE,56.9454545454546,9.47474747474747,0.848484848484849
"12110",10,261,"06:10","10:45",0,4.58333333333333,"Long Distance",TRUE,56.9454545454546,6.78,0.68
"12111",14,672,"20:05","08:15",1,12.1666666666667,"Long Distance",TRUE,55.2328767123288,22.5952380952381,-1.15873015873016
"12112",14,672,"19:05","06:25",1,11.3333333333333,"Long Distance",TRUE,59.2941176470588,8.38095238095238,0.198412698412698
"12113",9,890,"17:40","09:25",1,15.75,"Long Distance",TRUE,56.5079365079365,6.88888888888889,0
"12114",9,890,"18:35","09:45",1,15.1666666666667,"Long Distance",TRUE,58.6813186813187,1.04444444444444,0.555555555555556
"12115",14,455,"22:45","06:50",1,8.08333333333333,"Long Distance",TRUE,56.2886597938144,24.0285714285714,1.15714285714286
