"code","lat","lng","state","fullname","Pin_code","stops","DelayOverall","DelayDiscreate"
"AJJ",13.0817771,79.668103,"Tamil Nadu","ARAKKONAM",631001,122,19.2306684141547,4.49148099606815
"AJJN",13.0810131,79.6645008,"Tamil Nadu","AROKONAM JN. NORTH B",631001,1,5.3,0.2
"AJK",16.3297847,77.8710217,"Telangana","AJJAKOLLU",509381,6,81.9433962264151,3.45283018867925
"AJL",30.808257,75.3351598,"Punjab","AJITWAL",142053,6,24.6724137931034,-2.36206896551724
"AJM",23.2583455,72.5651801,"Gujarat","ADRAJ MOTI",382640,NA,NA,NA
"AJN",22.9312713,75.7385118,"Madhya Pradesh","AJNOD",453551,NA,NA,NA
"AJNI",21.1277078,79.0831292,"Maharashtra","AJNI",440012,23,15.4295302013423,-3.71812080536913
"AJP",13.731068,76.010313,"Karnataka","AJJAMPUR",577547,14,33.9662921348315,5.37078651685393
"AJR",28.4719985,77.5943348,"Uttar Pradesh","AJAIBPUR",201310,22,33.1954545454545,-0.581818181818182
"AJRE",26.1449598,92.2668314,"Assam","AUJARI",782410,4,17.1351351351351,1
"AJTM",30.4826601,74.8640996,"Punjab","AJITGILL MATTA",151202,8,21.64,3.04
"AJU",20.8185512,80.0231911,"Maharashtra","ARJUNI",441701,8,18.3728813559322,-0.203389830508475
"AJUG",25.243463,86.75515,"Bihar","ABJUGANJ",813213,6,30.1851851851852,1.01851851851852
"AK",20.7233388,77.0057059,"Maharashtra","AKOLA JN",444001,129,14.174520069808,-6.3717277486911
"AKAH",16.9276054,82.1792686,"Andhra Pradesh","ARTALAKATTA",533016,NA,NA,NA
"AKAT",13.648791,80.01846,"Andhra Pradesh","AKKAMPET",524121,2,5,-1.3
"AKD",23.3785468,76.5992987,"Madhya Pradesh","AKODIA",465223,25,34.5892857142857,0.898809523809524
"AKE",18.1018082,78.397998,"Telangana","AKANAPET",502115,24,32.7425742574257,2.44554455445545
"AKI",17.921952,74.194771,"Maharashtra","ADARKI",415521,4,27.8857142857143,3.94285714285714
"AKJ",26.530391,81.5044324,"Uttar Pradesh","AKBARGANJ",229801,12,90.6448598130841,4.92523364485981
"AKK",12.6255147,76.378108,"Karnataka","AKKIHEBBAIU",571605,10,23.7282608695652,0.880434782608696
"AKM",13.533434,80.074581,"Andhra Pradesh","ARAMBAKKAM",524401,4,30.3589743589744,3.02564102564103
"AKN",25.2359583,86.8351115,"Bihar","AKBARNAGAR",812006,28,40.0583333333333,1.90833333333333
"AKNR",28.6862801,77.5133461,"Uttar Pradesh","ADHYATMIK NAGAR",201015,4,216.918918918919,1.86486486486486
"AKOR",17.5225939,76.2027092,"Maharashtra","AKALKOT ROAD",413216,12,42.9591836734694,6.46938775510204
"AKOT",21.0954793,77.0466868,"Maharashtra","AKOT",444101,8,23,2.67532467532468
"AKP",17.6951204,83.0084408,"Andhra Pradesh","ANAKAPALLE",531001,62,22.6342105263158,-8.35
